gain_threshold,loss_threshold,period_months,cagr,total_return,max_dd,mar_ratio,switches,avg_switch_freq,pct_momentum,end_nav,cagr_score,mar_score,simple_score,total_score
15,-10,3,21.215418511726327,5317.834128175578,-59.1530986112793,0.3586526996859802,15,16.6,65.86345381526104,5937.222435936045,0.7562241758882576,0.7486752840965564,0.53125,0.7089646731730956
15,-15,3,21.677576217243978,5762.986777576132,-59.1530986112793,0.3664656074856999,9,27.666666666666668,86.34538152610442,6425.050271729782,0.8031970966997163,0.7971027933506466,0.71875,0.7844793863550521
15,-20,3,21.05211086361951,5168.374190689546,-60.653970351593664,0.34708545444900746,3,83.0,89.95983935742971,5773.434310806697,0.739625865115023,0.676976898537991,0.90625,0.7541560021189089
15,-25,3,20.27541971099376,4509.674739584373,-60.653970351593664,0.3342801731438679,2,124.5,94.37751004016064,5051.587708065217,0.6606843012902118,0.5976046731383619,0.9375,0.6971235525866144
15,-30,3,20.27541971099376,4509.674739584373,-60.653970351593664,0.3342801731438679,2,124.5,94.37751004016064,5051.587708065217,0.6606843012902118,0.5976046731383619,0.9375,0.6971235525866144
20,-5,3,16.748681143030097,2385.871367816197,-55.89500964553352,0.2996453753071041,13,19.153846153846153,31.72690763052209,2724.182931532348,0.30223260937236035,0.38292442402373766,0.59375,0.3847436318933015
20,-10,3,19.833874609499368,4170.97210088039,-59.15309861127929,0.3352973060606068,11,22.636363636363637,44.57831325301205,4680.4148633363575,0.6158064103894154,0.6039092674073204,0.65625,0.6203259854169039
20,-15,3,23.613882852156998,8035.708933133901,-59.1530986112793,0.39919942330213465,9,27.666666666666668,75.50200803212851,8915.650141233431,1.0,1.0,0.71875,0.9437500000000001
20,-20,3,21.05211086361951,5168.374190689546,-60.653970351593664,0.34708545444900746,3,83.0,89.95983935742971,5773.434310806697,0.739625865115023,0.676976898537991,0.90625,0.7541560021189089
20,-25,3,20.27541971099376,4509.674739584373,-60.653970351593664,0.3342801731438679,2,124.5,94.37751004016064,5051.587708065217,0.6606843012902118,0.5976046731383619,0.9375,0.6971235525866144
20,-30,3,20.27541971099376,4509.674739584373,-60.653970351593664,0.3342801731438679,2,124.5,94.37751004016064,5051.587708065217,0.6606843012902118,0.5976046731383619,0.9375,0.6971235525866144
25,-5,3,14.491041636261869,1557.7107800466667,-57.463306141413206,0.2521790444949412,7,35.57142857142857,18.473895582329316,1816.6295613225816,0.0727699811263096,0.08870923121854589,0.78125,0.21924775992871856
25,-10,3,14.091784779561767,1441.800778945232,-59.1530986112793,0.23822564008294822,7,35.57142857142857,19.67871485943775,1689.6076845342363,0.03219019528848693,0.002220482264911155,0.78125,0.1730112423237168
25,-15,3,22.485340392053654,6625.821763002073,-59.15309861127929,0.3801210912012335,7,35.57142857142857,65.06024096385542,7370.602149617657,0.885296869493008,0.8817449113629447,0.78125,0.8634219081553874
25,-20,3,21.05211086361951,5168.374190689546,-60.653970351593664,0.34708545444900746,3,83.0,89.95983935742971,5773.434310806697,0.739625865115023,0.676976898537991,0.90625,0.7541560021189089
25,-25,3,20.27541971099376,4509.674739584373,-60.653970351593664,0.3342801731438679,2,124.5,94.37751004016064,5051.587708065217,0.6606843012902118,0.5976046731383619,0.9375,0.6971235525866144
25,-30,3,20.27541971099376,4509.674739584373,-60.653970351593664,0.3342801731438679,2,124.5,94.37751004016064,5051.587708065217,0.6606843012902118,0.5976046731383619,0.9375,0.6971235525866144
