Date,Close,YearMonth
2012-04-30,2564.55,2012-04
2012-05-31,2331.64,2012-05
2012-06-29,2512.28,2012-06
2012-07-31,2384.19,2012-07
2012-08-31,2193.5,2012-08
2012-09-28,2440.45,2012-09
2012-10-31,2332.17,2012-10
2012-11-30,2485.83,2012-11
2012-12-31,2616.59,2012-12
2013-01-31,2572.35,2013-01
2013-02-28,2168.76,2013-02
2013-03-28,2090.81,2013-03
2013-04-30,2286.16,2013-04
2013-05-31,2160.69,2013-05
2013-06-28,1966.23,2013-06
2013-07-31,1770.71,2013-07
2013-08-30,1633.9,2013-08
2013-09-30,1786.19,2013-09
2013-10-31,2007.52,2013-10
2013-11-29,2052.91,2013-11
2013-12-31,2195.22,2013-12
2014-01-31,2029.72,2014-01
2014-02-28,2068.29,2014-02
2014-03-31,2472.29,2014-03
2014-04-30,2715.35,2014-04
2014-05-30,3504.74,2014-05
2014-06-30,3913.83,2014-06
2014-07-31,3543.62,2014-07
2014-08-28,3481.88,2014-08
2014-09-30,3420.2,2014-09
2014-10-31,3672.29,2014-10
2014-11-28,3863.14,2014-11
2014-12-31,3852.46,2014-12
2015-01-30,3932.46,2015-01
2015-02-28,3843.6,2015-02
2015-03-31,3730.58,2015-03
2015-04-30,3743.86,2015-04
2015-05-29,3728.55,2015-05
2015-06-30,3506.43,2015-06
2015-07-31,3738.61,2015-07
2015-08-31,3418.25,2015-08
2015-09-30,3373.5,2015-09
2015-10-30,3540.36,2015-10
2015-11-30,3514.35,2015-11
2015-12-31,3496.94,2015-12
2016-01-29,3118.87,2016-01
2016-02-29,2790.45,2016-02
2016-03-31,3299.13,2016-03
2016-04-29,3473.26,2016-04
2016-05-31,3439.97,2016-05
2016-06-30,3732.71,2016-06
2016-07-29,4180.28,2016-07
2016-08-31,4308.32,2016-08
2016-09-30,4301.45,2016-09
2016-10-30,4594.16,2016-10
2016-11-30,4456.42,2016-11
2016-12-30,4286.33,2016-12
2017-01-31,4761.32,2017-01
2017-02-28,4999.75,2017-02
2017-03-31,5160.36,2017-03
2017-04-28,5421.64,2017-04
2017-05-31,5324.38,2017-05
2017-06-30,5198.3,2017-06
2017-07-31,5583.9,2017-07
2017-08-31,5686.47,2017-08
2017-09-29,5499.07,2017-09
2017-10-31,5995.66,2017-10
2017-11-30,5757.84,2017-11
2017-12-29,6102.0,2017-12
2018-01-31,6006.23,2018-01
2018-02-28,5579.03,2018-02
2018-03-28,5033.43,2018-03
2018-04-30,5205.08,2018-04
2018-05-31,4935.14,2018-05
2018-06-29,4571.1,2018-06
2018-07-31,4687.09,2018-07
2018-08-31,4830.55,2018-08
